dataset,method,n_images,dice,iou,pixel_accuracy
Internal CDPR,Baseline,360,0.9439727089471287,0.8952139591177305,0.980440902709961
Internal CDPR,CLAHE,360,0.9391590479347441,0.8865976259112358,0.9787848048739963
External OPG,Baseline,329,0.8924176973774802,0.8076624792397565,0.9730008134001294
External OPG,CLAHE,329,0.8993446354083378,0.8183735013008118,0.9744455053451213
Clean STS exploratory,Baseline,52,0.8999608021516067,0.8192788224953872,0.9695524068979117
Clean STS exploratory,CLAHE,52,0.8995314859426938,0.8186250672890589,0.9695130861722506
