example,difficulty,baseline_dice,clahe_dice
İyi 1,İyi,0.9478340744972228,0.941841185092926
İyi 2,İyi,0.9410573840141296,0.9346467852592468
Zor 3,Zor,0.6548761129379272,0.8491827845573425
Zor 4,Zor,0.7690311670303345,0.7658646106719971
